"CLAVE_MUNICIPIO","MUNICIPIO","CLAVE_ENTIDAD","ENTIDAD_FEDERATIVA","MUN_OFICIA","pobtot","latitud","longitud"
"001","AGUASCALIENTES","01","AGUASCALIENTES","01001",1595820,"21.81144","-102.2958"
"002","ASIENTOS","01","AGUASCALIENTES","01002",91492,"22.12651","-102.04564"
"003","CALVILLO","01","AGUASCALIENTES","01003",108560,"21.90069","-102.7049"
"004","COSÍO","01","AGUASCALIENTES","01004",30244,"22.36063","-102.29704"
"005","JESÚS MARÍA","01","AGUASCALIENTES","01005",199816,"21.93212","-102.44565"
"006","PABELLÓN DE ARTEAGA","01","AGUASCALIENTES","01006",84326,"22.10454","-102.30168"
"007","RINCÓN DE ROMOS","01","AGUASCALIENTES","01007",99201,"22.26741","-102.34073"
"008","SAN JOSÉ DE GRACIA","01","AGUASCALIENTES","01008",16950,"22.14663","-102.52584"
"009","TEPEZALÁ","01","AGUASCALIENTES","01009",39563,"22.23697","-102.19213"
"010","EL LLANO","01","AGUASCALIENTES","01010",38380,"21.92152","-102.0354"
"011","SAN FRANCISCO DE LOS ROMO","01","AGUASCALIENTES","01011",71835,"22.03307","-102.22902"
"999","NO ESPECIFICADO","01","AGUASCALIENTES","01999",NA,NA,NA
"001","ENSENADA","02","BAJA CALIFORNIA","02001",938550,"30.03617","-114.95854"
"002","MEXICALI","02","BAJA CALIFORNIA","02002",1877927,"31.73902","-115.1641"
"003","TECATE","02","BAJA CALIFORNIA","02003",203329,"32.44089","-116.26898"
"004","TIJUANA","02","BAJA CALIFORNIA","02004",3120719,"32.40406","-116.81983"
"005","PLAYAS DE ROSARITO","02","BAJA CALIFORNIA","02005",181834,"32.25294","-116.89074"
"999","NO ESPECIFICADO","02","BAJA CALIFORNIA","02999",NA,NA,NA
"001","COMONDÚ","03","BAJA CALIFORNIA SUR","03001",143746,"25.49135","-111.82007"
"002","MULEGÉ","03","BAJA CALIFORNIA SUR","03002",119796,"27.28608","-113.23073"
"003","LA PAZ","03","BAJA CALIFORNIA SUR","03003",506961,"24.19047","-110.66331"
"008","LOS CABOS","03","BAJA CALIFORNIA SUR","03008",479013,"23.27661","-109.75328"
"009","LORETO","03","BAJA CALIFORNIA SUR","03009",34128,"25.95317","-111.44849"
"999","NO ESPECIFICADO","03","BAJA CALIFORNIA SUR","03999",NA,NA,NA
"001","CALKINÍ","04","CAMPECHE","04001",105878,"20.38439","-90.21803"
"002","CAMPECHE","04","CAMPECHE","04002",519464,"19.61701","-90.26764"
"003","CARMEN","04","CAMPECHE","04003",445195,"18.52404","-91.48323"
"004","CHAMPOTÓN","04","CAMPECHE","04004",166659,"19.13421","-90.49932"
"005","HECELCHAKÁN","04","CAMPECHE","04005",56644,"20.12444","-90.13542"
"006","HOPELCHÉN","04","CAMPECHE","04006",75730,"19.47407","-89.60964"
"007","PALIZADA","04","CAMPECHE","04007",17165,"18.2736","-91.97387"
"008","TENABO","04","CAMPECHE","04008",19495,"19.96964","-90.23302"
"009","ESCÁRCEGA","04","CAMPECHE","04009",108997,"18.5506","-90.47435"
"010","CALAKMUL","04","CAMPECHE","04010",54086,"18.40283","-89.66157"
"011","CANDELARIA","04","CAMPECHE","04011",84561,"18.09904","-90.71656"
"999","NO ESPECIFICADO","04","CAMPECHE","04999",NA,NA,NA
"001","ABASOLO","05","COAHUILA DE ZARAGOZA","05001",2196,"27.12239","-101.24578"
"002","ACUÑA","05","COAHUILA DE ZARAGOZA","05002",273870,"29.4326","-102.01003"
"003","ALLENDE","05","COAHUILA DE ZARAGOZA","05003",45500,"28.27835","-100.916"
"004","ARTEAGA","05","COAHUILA DE ZARAGOZA","05004",46233,"25.34136","-100.64237"
"005","CANDELA","05","COAHUILA DE ZARAGOZA","05005",3647,"26.85245","-100.79925"
"006","CASTAÑOS","05","COAHUILA DE ZARAGOZA","05006",51976,"26.58624","-101.38693"
"007","CUATRO CIÉNEGAS","05","COAHUILA DE ZARAGOZA","05007",26198,"26.6991","-102.29898"
"008","ESCOBEDO","05","COAHUILA DE ZARAGOZA","05008",5837,"27.30607","-101.27959"
"009","FRANCISCO I. MADERO","05","COAHUILA DE ZARAGOZA","05009",111628,"26.32015","-103.18086"
"010","FRONTERA","05","COAHUILA DE ZARAGOZA","05010",150518,"26.9477","-101.52827"
"011","GENERAL CEPEDA","05","COAHUILA DE ZARAGOZA","05011",23604,"25.52169","-101.55104"
"012","GUERRERO","05","COAHUILA DE ZARAGOZA","05012",4413,"28.09741","-100.39379"
